family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
microbacteriaceae	0.0104794341105580298663872200	0.0096181590843512551697605100	0.0357308750491299531925536900	0.0067109589960405341923360800	0.0119582894862718836697598800	0.0163181574469077091638109900	0.6105850095619916591783599500	0.1420011775707408305337166200
bacillales	0.0471574534975111343987424700	0	0.0071461750098259906385107400	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1751111725536277965945485100	0
methanobacteriaceae	0	0	0.0035730875049129953192553700	0	0	0	0.4446902145111863781940508300	0
cryomorphaceae	0.0314383023316740895991616500	0	0.0357308750491299531925536900	0.0033554794980202670961680400	0	0	0.2050643994378009723278265500	0
pelobacteraceae	0	0	0	0	0	0	0.0069122831271168867076795500	0
chromulinaceae	0	0	0	0	0	0.0069934960486747324987761400	0	0
oscillatoriales	0.0314383023316740895991616500	0.1827450226026738482254496500	0.0178654375245649765962768400	0.0279623291501688924680670200	4.4915335310437195063618100100	0.3799799519779937991001701800	0.0299532268841731757332780400	0.7030790011429363072766944900
oxalobacteraceae	0.5396908566937385381189415800	0.5386169087236702895065884400	0.3215778754421695787329831700	0.3702212379482361362772073500	0.712714053381804266717688700	0.5478238571461873790707974900	0.3893919494942512845326144600	76.358535656149343677484154750
onagraceae	0.0052397170552790149331936100	0.0384726363374050206790420300	0	0.0022369863320135113974453600	0.6696642112312254855065531400	0	0.0345614156355844335383977300	0.0034634433553839226959443100
hominidae	0	0	0	0.0067109589960405341923360800	0	0	0.0023040943757056289025598500	0
thermoanaerobacterales family iii. incertae sedis	0	0	0.0035730875049129953192553700	0	0	0	0.1497661344208658786663901800	0
streptococcaceae	0.3301021744825779407911972800	0.3077810906992401654323362500	0.4109050630649944617143673800	0.0111849316600675569872268100	0.2582990529034726872668133600	0.275077511247872811618528100	0.8432985415082601783369046800	0.04502476361999099504727600
rubrobacteraceae	0	0	0	0	0	0	0.0437777931384069491486371300	0
competibacteraceae	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0	0.3248773069744936752609386900	0
nocardiaceae	0.0209588682211160597327744300	0	0	0.0022369863320135113974453600	0.0023916578972543767339519800	0.0349674802433736624938806900	0.2004562106863897145227068500	0.0103903300661517680878329200
pentatomidae	0	0	0	0	0.0023916578972543767339519800	0	0.004608188751411257805119700	0
salinisphaeraceae	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0.090915448632771522484089800	0	0.0207806601323035361756658500
alphaproteobacteria	0.0052397170552790149331936100	0	0	0	0	0	0.1751111725536277965945485100	0.0623419803969106085269975400
hydrogenophilaceae	0	0	0.0107192625147389859577661100	0.0044739726640270227948907200	0.0023916578972543767339519800	0.0069934960486747324987761400	0.905509089652312158706020600	0.0069268867107678453918886200
lactobacillaceae	0	0.0192363181687025103395210200	0.4823668131632543680994747600	0.0111849316600675569872268100	0.0669664211231225485506553100	0.0046623306991164883325174300	0.0391696043869956913435174300	0.1142936307276694489661621600
rhabdochlamydiaceae	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0	0.7373102002258012488191516300	0
iamiaceae	0	0	0	0	0	0.0023311653495582441662587100	0.094467869403930785004953800	0.0034634433553839226959443100
coniothyriaceae	0	0	0	0	0	0	0.1105965300338701873228727400	0
cyanothecaceae	0	0	0.0035730875049129953192553700	0	0.0382665263560700277432316100	0	0	0
pinaceae	0	0	0	0	0	0	0	0.0415613202646070723513316900
legionellaceae	0	0	0	0	0	0.0116558267477912208312935600	0	0
conexibacteraceae	0	0	0	0	0.0334832105615612742753276600	0.0046623306991164883325174300	0.0023040943757056289025598500	0
pythiaceae	0.0419177364422321194655488600	0.0865634317591612965278445700	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0	0.0460818875141125780511969800	0
rhodospirillaceae	0	0	0	0.0044739726640270227948907200	0	0.1422010863230528941417814800	0.0483859818898182069537568300	0.2736120250753298929796003200
spiroplasmataceae	0	0	0	0	0.0071749736917631302018559300	0	0	0.0034634433553839226959443100
erythrobacteraceae	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0044739726640270227948907200	0.0143499473835262604037118500	0.0303051495442571741613632700	0.405520610124190686850533400	0
comamonadaceae	0.0785957558291852239979041100	0.0673271135904587861883235500	0.2465430378389966770286204300	0.023488356486141869673176300	0.0550081316368506648808954400	1.0187192577569527006550574600	0.7718716158613856823575493700	6.2272711529802930073078654800
pseudomonadaceae	0.3301021744825779407911972800	0.2693084543618351447532942200	0.2965662629077786114981955900	0.3467328814620942666040310500	0.5046398163206734908638668300	81.67704035247220085320651794	1.4630999285730743531255040200	0.4744917396875974093443701700
fusobacteriaceae	0	0.0384726363374050206790420300	0	0	0	0	0	0
