identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
anaerococcus sp.	0	0	0.0107204116638078902229845600	0	0	0	0	0
methylobacterium	0	0	0	0.0011185181871057223390452300	0.0023916578972543767339519800	0	0.0046196844755503199131499300	0.0935129705953659127904963100
enhydrobacter aerosaccus	0.0104794341105580298663872200	0.1731268635183225930556891400	0	0	0	0	0.0023098422377751599565749700	0.0173172167769196134797215400
methanobacterium subterraneum	0	0	0	0	0	0	0.1316610075531841175247730600	0
pelistega europaea	0.0052397170552790149331936100	0	0	0	0	0	0	0.0069268867107678453918886200
lactobacillus agilis	0	0	0.0035734705546026300743281900	0.0022370363742114446780904700	0	0.0046623306991164883325174300	0	0.0519516503307588404391646200
chloroflexales	0	0	0.0035734705546026300743281900	0	0	0.0023311653495582441662587100	0.196336590210888596308872100	0
dokdonella sp.	0	0	0	0	0	0.0139869920973494649975522800	0	0
hymenobacter xinjiangensis	0	0	0	0	0	0	0	0.0207806601323035361756658500
xanthobacteraceae	0	0	0	0	0	0	0.0207885801399764396091746900	0
flavisolibacter ginsengisoli	0	0	0	0	0.0119582894862718836697598800	0	0	0
erythrobacter sp.	0	0	0.0035734705546026300743281900	0.0044740727484228893561809300	0	0.0046623306991164883325174300	0.1986464324486637562654470700	0
enterococcus faecium	0.0157191511658370447995808200	0.0096181590843512551697605100	0.1500857632933104631217838800	0.153236991633483960449196900	0	0	0	0
nocardioides spp.	0	0	0	0	0	0.0139869920973494649975522800	0	0
bradyrhizobium sp.	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0	0.2194350125886401958746217600	0
rubellimicrobium	0	0.0096181590843512551697605100	0	0	0	0.0326363148938154183276219800	0	0
sphingomonas spp.	0	0	0	0	0	0.0582791337389561041564678200	0	0
actinomyces	0	0.0288544772530537655092815200	0.0071469411092052601486563800	0.006711109122634334034271400	0.0047833157945087534679039500	0.0023311653495582441662587100	0.7483888850391518259302889600	0.0034634433553839226959443100
aquabacterium spp.	0.0157191511658370447995808200	0.0384726363374050206790420300	0.05717552887364208118925100	0.010066663683951501051407100	0.0717497369176313020185592700	2.5153274121733454553931510400	0.2841105952463446746587208100	0.0242441034876874588716101500
aridibacter	0	0	0.0035734705546026300743281900	0.0022370363742114446780904700	0	0	0.5497424525904880696648418900	0
bdellovibrio	0	0	0	0	0	0.0093246613982329766650348500	0	0
bellilinea spp.	0	0	0.0035734705546026300743281900	0.0011185181871057223390452300	0.0047833157945087534679039500	0.0023311653495582441662587100	0.4019125493728778324440440700	0
