genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
altererythrobacter	0.0052397170552790149331936100	0	0	0	0.0143499473835262604037118500	0.0256428188451406858288458400	0.207368493813506601230386400	0
erysipelothrix	0.0104794341105580298663872200	0.0192363181687025103395210200	0	0	0	0	0	0
nosema	0.0052397170552790149331936100	0.0192363181687025103395210200	0	0	0	0	0	0
devosia	0	0	0	0	0	0.0069934960486747324987761400	0.0023040943757056289025598500	0.0103903300661517680878329200
halomonas	0.0157191511658370447995808200	0.0384726363374050206790420300	0.2108121627898667238360667500	0.0033554794980202670961680400	0.1698077107050607481105902600	0.0792596218849803016527962300	0.1405497569180433630561507800	0
pseudoxanthomonas	0.0104794341105580298663872200	0.0096181590843512551697605100	0.057169400078607925108085900	0.0022369863320135113974453600	0.0119582894862718836697598800	0.0069934960486747324987761400	1.1566553766042257090850441200	0.0069268867107678453918886200
levilinea	0	0	0	0	0	0	0.2004562106863897145227068500	0
xylella	0	0	0	0	0	0.0116558267477912208312935600	0	0
rhizopus	0	0	0	0	0.019133263178035013871615800	0	0	0
pythium	0.0419177364422321194655488600	0.0865634317591612965278445700	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0	0.0460818875141125780511969800	0
comamonas	0	0.0096181590843512551697605100	0.0178654375245649765962768400	0	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1543743231722771364715098700	0.0034634433553839226959443100
desulfuromonas	0	0	0	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1105965300338701873228727400	0
aphanothece	0	0	0	0	0	0	0.0529941706412294647588765200	0
vairimorpha	21.660990306523447733822373590	46.561508127344426276810618450	0.7181905884875120591703290800	0.1521150705769187750262845900	0.0526164737395962881469434600	0.0582791337389561041564678200	0.0460818875141125780511969800	0.0519516503307588404391646200
zea	0	0	0	0	0	0	0	0.0311709901984553042634987700
skermanella	0	0	0	0.0044739726640270227948907200	0	0.0093246613982329766650348500	0.004608188751411257805119700	0.2736120250753298929796003200
dehalococcoides	0	0	0	0.0011184931660067556987226800	0	0	0.0368655100112900624409575800	0
staphylococcus	0.5868483101912496725176840500	0.1923631816870251033952101600	0.0786079251080858970236181100	0.0223698633201351139744536200	0.6887974744092604993781689500	0.1911555586637760216332144400	1.0829243565816455842031289600	0.0277075468430713815675544600
mucor	0.068116321718627194131516900	0	0	0.0011184931660067556987226800	0.1004496316846838228259829700	0	0	0
halospirulina	0.0314383023316740895991616500	0.1827450226026738482254496500	0.0178654375245649765962768400	0.0279623291501688924680670200	4.4915335310437195063618100100	0.3799799519779937991001701800	0.0299532268841731757332780400	0.7030790011429363072766944900
actinomadura	0	0	0	0	0	0	0.0368655100112900624409575800	0
roseovarius	0	0	0	0	0	0.0396298109424901508263981200	0	0
finegoldia	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0.0023916578972543767339519800	0.0233116534955824416625871300	0.1774152669293334254971083600	0
candidatus alysiosphaera	0.0052397170552790149331936100	0	0	0	0	0	0	0.0623419803969106085269975400
stenotrophomonas	0.0104794341105580298663872200	0.0192363181687025103395210200	0.0107192625147389859577661100	0.0044739726640270227948907200	0.4376733951975509423132115200	0.018649322796465953330069700	0.6727955577060436395474758600	0.0103903300661517680878329200
ethanoligenens	0	0.0384726363374050206790420300	0	0	0	0	0	0.0069268867107678453918886200
oenothera	0.0052397170552790149331936100	0.0384726363374050206790420300	0	0.0022369863320135113974453600	0.6696642112312254855065531400	0	0.0345614156355844335383977300	0.0034634433553839226959443100
tepidiphilus	0	0	0.0107192625147389859577661100	0.0044739726640270227948907200	0.0023916578972543767339519800	0.0069934960486747324987761400	0.905509089652312158706020600	0.0069268867107678453918886200
proteiniphilum	0.0209588682211160597327744300	0	0.0214385250294779719155322100	0.0123034248260743126859494900	0	0.0069934960486747324987761400	1.8663164443215594110734775700	0
bradyrhizobium	0.0052397170552790149331936100	0.0096181590843512551697605100	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0023311653495582441662587100	0.3870878551185456556300546100	0
rufibacter	0	0	0.1464965877014328080894701100	0	0	0	0	0
laceyella	0	0.0769452726748100413580840600	0	0	0	0	0	0
dietzia	0.0366780193869531045323552500	0	0.2465430378389966770286204300	0.0033554794980202670961680400	0.0502248158423419114129914900	0	0.0460818875141125780511969800	0.0207806601323035361756658500
deinococcus	0	0	0	0	0	0	0	0.0138537734215356907837772300
veillonella	0	0	0	0.0022369863320135113974453600	0	0.0046623306991164883325174300	0.1290292850395152185433515400	0
crocinitomix	0	0	0	0.0033554794980202670961680400	0	0	0.2050643994378009723278265500	0
atopostipes	0.0261985852763950746659680400	0.0865634317591612965278445700	0.2429699503340836817093650600	0.0145404111580878240833948500	0.6170477374916291973596096800	0.2004802200620089982982492900	0.2096725881892122301329462500	0.0069268867107678453918886200
burkholderia	0.0157191511658370447995808200	0.0865634317591612965278445700	0	0	0.0358748684588156510092796300	0	0.1405497569180433630561507800	0.0138537734215356907837772300
roseburia	0.0209588682211160597327744300	0	0	0	0	0	0	0.0034634433553839226959443100
nubsella	0	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0815907872345385458190549500	0.4262574595055413469735720400	0
candidatus soleaferrea	0	0	0	0.0011184931660067556987226800	0	0	0.1751111725536277965945485100	0
arthrobacter	0.0419177364422321194655488600	0.0865634317591612965278445700	0.0250116125343909672347875800	0.0615171241303715634297474400	0.019133263178035013871615800	0.1445322516726111383080401900	0.193543927559272827815027300	3.141343123333217885221487200
cupriavidus	0	0	0	0.0011184931660067556987226800	0	0.0862531179336550341515723700	0.4400820257597751203889311300	0
streptococcus	0.2986638721509038511920356300	0.2789266134461863999230547300	0.4109050630649944617143673800	0.0078294521620472898910587700	0.2582990529034726872668133600	0.2494346924027321257896822600	0.7903043708670307135780281600	0.04502476361999099504727600
rubrobacter	0	0	0	0	0	0	0.0437777931384069491486371300	0
methylophilus	0.0052397170552790149331936100	0	0	0	0.0502248158423419114129914900	0	0	0
