species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
corynebacterium glucuronolyticum	0	0	0	0	0	0.0093346713028867471004177300	0	0
candidatus alysiosphaera europeae	0.006699269779594024251356600	0	0	0	0	0	0	0.0624219725343320848938826500
variovorax paradoxus	0.0468948884571581697594962100	0.0903342366757000903342366800	0.0359958244843598142615456600	0.016805028064396867542768800	0.0410132689987937273823884200	0.2100301043149518097593988500	0.0789595912679981421272642800	6.2213899292550977944236371200
prevotella sp.	0	0	0	0	0.0024125452352231604342581400	0	0.1045053413841151881096144900	0
lactobacillus agilis	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0.0046673356514433735502088600	0	0.0520183104452767374115688700
porphyromonas spp.	0	0	0	0	0.0024125452352231604342581400	0.0280040139086602413012531800	0	0
fluviicola spp.	0.0401956186775641455081396100	0	0.0359958244843598142615456600	0	0	0	0	0
xanthobacter autotrophicus	0	0	0	0	0	0	0.020901068276823037621922900	0
sediminibacterium salmoneum	0	0	0	0.0033610056128793735085537600	0	0.2170311077921168700847121400	0.6456107756618671620993961900	0.0069357747260368983215425200
flavisolibacter ginsengisoli	0	0	0	0	0.0120627261761158021712907100	0	0	0
helcobacillus massiliensis	0	0.0542005420054200542005420100	0	0	0	0	0	0
roseomonas sp.	0.006699269779594024251356600	0	0.0071991648968719628523091300	0.0022406704085862490057025100	0	0	0.0023223409196470041802136600	0.1976695796920516021639617100
rhodopila spp.	0	0	0	0	0	0	0.0023223409196470041802136600	0.0069357747260368983215425200
actinomyces cardiffensis	0.006699269779594024251356600	0.0903342366757000903342366800	0	0.0011203352042931245028512500	0	0	0.109150023223409196470041800	0
levilinea saccharolytica	0	0	0	0	0	0	0.0998606595448211797491871800	0
lactobacillus gallinarum	0	0.0361336946702800361336946700	0.0359958244843598142615456600	0.0067220112257587470171075200	0.0651387213510253317249698400	0	0	0.0450825357192398390900263600
sporocytophaga spp.	0	0	0	0.0011203352042931245028512500	0.0289505428226779252110977100	0	0	0
iamia spp.	0	0	0	0	0	0.0023336678257216867751044300	0.0952159777055271713887598700	0.0034678873630184491607712600
kocuria rhizophila	0.0200978093387820727540698100	0	0	0	0	0.0396723530372686751767753400	0	0
roseomonas spp.	0	0	0	0.0011203352042931245028512500	0	0	0	0.0104036620890553474823137700
rhizobium sp.	0	0	0.0071991648968719628523091300	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0560080278173204826025063600	0.3553181607059916395726892700	0.0034678873630184491607712600
williamsia muralis	0	0	0	0	0	0.0326713495601036148514620400	0	0
cupriavidus respiraculi	0	0	0	0.0011203352042931245028512500	0	0.0863457095517024106788639700	0.4435671156525777984208081700	0
geoalkalibacter spp.	0	0	0.010798747345307944278463700	0	0	0	0	0
staphylococcus epidermidis	0.7503182153145307161519394400	0.361336946702800361336946700	0.0791908138655915913754004500	0.0224067040858624900570250600	0.6948130277442702050663449900	0.1913607617091783155585633900	1.0915002322340919647004180200	0.0277430989041475932861700700
pseudomonas thermotolerans	0	0	0.0467945718296677585400093600	0.0022406704085862490057025100	0.0048250904704463208685162800	0	0.2438457965629354389224338100	0
jeotgalicoccus halotolerans	0	0.0722673893405600722673893400	0	0	0	0	0	0
anaerococcus sp.	0	0	0.010798747345307944278463700	0	0	0	0	0
