identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rufibacter sp.	0	0	0.1475881929445644348452123800	0	0	0	0	0
rhizobium sp.	0	0	0.0071994240460763138948884100	0.0011203603078750126040534600	0.0024125452352231604342581400	0.0560080278173204826025063600	0.3562032919702931110748958200	0.0034678873630184491607712600
blautia ruminococcus gnavus	0.0200978093387820727540698100	0	0	0	0	0	0	0
desulfobacteraceae	0	0	0	0	0	0.0396723530372686751767753400	0	0
daeguia caeni	0	0.0180668473351400180668473400	0.082793376529877609791216700	0.0011203603078750126040534600	0	0.0023336678257216867751044300	0.3422345354224384792680371600	0
prevotella sp.	0	0	0	0	0.0024125452352231604342581400	0	0.1047656741089097385514399500	0
ruminococcaceae	0	0	0	0.0011203603078750126040534600	0	0	0.0139687565478546318068586600	0
porphyromonas spp.	0	0	0	0	0.0024125452352231604342581400	0.0280040139086602413012531800	0	0
pedosphaera spp.	0	0	0	0	0	0	0	0.0554861978082951865723401300
sediminibacterium salmoneum	0	0	0	0.0033610809236250378121603900	0	0.2170311077921168700847121400	0.6472190533839312737177845600	0.0069357747260368983215425200
rhizobium mongolense	0	0	0	0	0.0024125452352231604342581400	0.0210030104314951809759398800	0	0
chelatococcus sp.	0	0	0.0107991360691144708423326100	0	0	0	0	0
streptococcus salivarius	0.0669926977959402425135660200	0.5058717253839205058717253800	0.2843772498200143988480921500	0.0056018015393750630202673200	0.0965018094089264173703256900	0.088679377377424097453968400	0.7240472143971317486555071800	0.0450825357192398390900263600
staphylococcus epidermidis	0.7503182153145307161519394400	0.361336946702800361336946700	0.079193664506839452843772500	0.0224072061575002520810692700	0.6948130277442702050663449900	0.1913607617091783155585633900	1.0942192629152794915372616600	0.0277430989041475932861700700
exiguobacterium panipatensis	0.006699269779594024251356600	0	0.003599712023038156947444200	0.0011203603078750126040534600	0	0.0023336678257216867751044300	0.1769375829394920028868763500	0
anaerococcus sp.	0	0	0.0107991360691144708423326100	0	0	0	0	0
methylobacterium	0	0	0	0.0011203603078750126040534600	0.0024125452352231604342581400	0	0.0046562521826182106022862200	0.0936329588014981273408239700
enhydrobacter aerosaccus	0.013398539559188048502713200	0.3252032520325203252032520300	0	0	0	0	0.0023281260913091053011431100	0.0173394368150922458038562900
pelistega europaea	0.006699269779594024251356600	0	0	0	0	0	0	0.0069357747260368983215425200
lactobacillus agilis	0	0	0.003599712023038156947444200	0.0022407206157500252081069300	0	0.0046673356514433735502088600	0	0.0520183104452767374115688700
chloroflexales	0	0	0.003599712023038156947444200	0	0	0.0023336678257216867751044300	0.1978907177612739505971643400	0
dokdonella sp.	0	0	0	0	0	0.0140020069543301206506265900	0	0
hymenobacter xinjiangensis	0	0	0	0	0	0	0	0.0208073241781106949646275500
xanthobacteraceae	0	0	0	0	0	0	0.0209531348217819477102879900	0
flavisolibacter ginsengisoli	0	0	0	0	0.0120627261761158021712907100	0	0	0
erythrobacter sp.	0	0	0.003599712023038156947444200	0.0044814412315000504162138500	0	0.0046673356514433735502088600	0.2002188438525830558983074500	0
enterococcus faecium	0.0200978093387820727540698100	0.0180668473351400180668473400	0.1511879049676025917926565900	0.1534893621788767267553245100	0	0	0	0
nocardioides spp.	0	0	0	0	0	0.0140020069543301206506265900	0	0
bradyrhizobium sp.	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0	0.2211719786743650036085954400	0
rubellimicrobium	0	0.0180668473351400180668473400	0	0	0	0.0326713495601036148514620400	0	0
sphingomonas spp.	0	0	0	0	0	0.0583416956430421693776107900	0	0
actinomyces	0	0.0542005420054200542005420100	0.0071994240460763138948884100	0.0067221618472500756243207800	0.0048250904704463208685162800	0.0023336678257216867751044300	0.7543128535841501175703676100	0.0034678873630184491607712600
aquabacterium spp.	0.0200978093387820727540698100	0.0722673893405600722673893400	0.0575953923686105111591072700	0.0100832427708751134364811700	0.0723763570566948130277442700	2.5180275839537000303376817300	0.2863595092310199520406025200	0.0242752115411291441253988100
aridibacter	0	0	0.003599712023038156947444200	0.0022407206157500252081069300	0	0	0.5540940097315670616720601600	0
bdellovibrio	0	0	0	0	0	0.0093346713028867471004177300	0	0
bellilinea spp.	0	0	0.003599712023038156947444200	0.0011203603078750126040534600	0.0048250904704463208685162800	0.0023336678257216867751044300	0.4050939398877843223989011200	0
novosphingobium subarcticum	0	0	0	0.0011203603078750126040534600	0.0024125452352231604342581400	0.0583416956430421693776107900	0.3725001746094568481828975900	0
levilinea saccharolytica	0	0	0	0	0	0	0.1001094219262915279491537300	0
dolosigranulum pigrum	0	0.0180668473351400180668473400	0	0	0	0	0	0.0242752115411291441253988100
reyranella spp.	0	0	0	0.0011203603078750126040534600	0.0024125452352231604342581400	0.0163356747800518074257310200	0.4889064791749121132400530800	0
haemophilus influenzae	0.0602934280163462182622094200	0	0	0	0	0	0	0
jeotgalicoccus halotolerans	0	0.0722673893405600722673893400	0	0	0	0	0	0
methylobacterium sp.	0	0	0	0	0	0.0116683391286084338755221600	0	0
moorella spp.	0	0	0	0.0022407206157500252081069300	0	0	0.1117500523828370544548692800	0
actinomyces johnsonii	0.013398539559188048502713200	0	0.003599712023038156947444200	0	0.0096501809408926417370325700	0.0046673356514433735502088600	0.0721719088305822643354364100	0
